name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|avg|obp|slg
Coby Mayo|BAL|58|0|4|4|1|16|7|8|51|0|0.157|0.259|0.196
Bo Naylor|CLE|49|1|1|3|0|10|4|7|45|0|0.156|0.224|0.244
Cal Raleigh|SEA|96|2|6|11|1|30|11|13|84|1|0.155|0.25|0.262
Bryce Johnson|SDP|15|0|2|1|2|7|1|2|13|0|0.154|0.214|0.231
Miguel Vargas|CHW|87|2|11|8|3|15|12|11|72|1|0.153|0.287|0.306
Leo Rivas|SEA|57|0|4|4|0|20|10|7|46|1|0.152|0.298|0.196
Jake Cronenworth|SDP|77|1|10|3|0|16|10|10|66|0|0.152|0.273|0.212
Carson Benge|NYM|67|1|5|3|5|17|7|9|60|0|0.15|0.239|0.217
Alejandro Kirk|TOR|22|1|2|2|0|2|2|3|20|0|0.15|0.227|0.35
Cedric Mullins|TBR|75|2|7|8|3|16|3|10|67|1|0.149|0.205|0.284
Kody Clemens|MIN|40|2|3|3|4|15|5|5|34|0|0.147|0.275|0.324
Josh Naylor|SEA|91|2|4|7|0|16|8|12|82|0|0.146|0.231|0.22
Brent Rooker|ATH|49|2|4|8|2|17|6|6|41|2|0.146|0.245|0.293
Trent Grisham|NYY|76|2|9|11|1|13|14|9|62|0|0.145|0.303|0.29
Alec Bohm|PHI|76|1|4|10|0|13|5|10|69|1|0.145|0.211|0.203
Joey Bart|PIT|32|1|3|3|0|14|2|4|28|1|0.143|0.219|0.25
Santiago Espinal|LAD|15|0|1|2|0|2|0|2|14|0|0.143|0.143|0.214
Greg Jones|MIL|8|0|0|1|1|2|0|1|7|0|0.143|0.143|0.143
Christian Koss|SFG|7|0|0|0|0|0|0|1|7|0|0.143|0.143|0.286
Jared Oliva|SFG|7|0|1|0|1|1|0|1|7|0|0.143|0.143|0.143
Ryan Ritter|COL|7|0|1|0|0|3|0|1|7|0|0.143|0.143|0.143
Shay Whitcomb|HOU|8|1|1|3|0|5|1|1|7|0|0.143|0.25|0.571
Travis d'Arnaud|LAA|15|0|1|0|0|4|1|2|14|0|0.143|0.2|0.214
Samuel Basallo|BAL|64|3|6|4|0|17|7|8|57|0|0.14|0.234|0.298
Ryan McMahon|NYY|52|1|4|4|0|16|9|6|43|0|0.14|0.288|0.209
Noelvi Marte|CIN|31|0|2|0|1|10|2|4|29|0|0.138|0.194|0.138
Patrick Bailey|SFG|54|0|3|1|1|11|3|7|51|0|0.137|0.185|0.137
Heriberto Hernández|MIA|60|0|3|7|3|13|9|7|51|0|0.137|0.267|0.176
TJ Friedl|CIN|87|0|7|1|3|20|10|10|73|0|0.137|0.259|0.137
Caleb Durbin|BOS|68|0|6|6|0|10|6|8|60|0|0.133|0.235|0.183
Andy Ibáñez|ATH|16|0|1|3|0|2|1|2|15|0|0.133|0.188|0.133
Blake Perkins|MIL|35|0|1|2|1|9|4|4|30|0|0.133|0.235|0.2
Yohel Pozo|STL|15|0|0|3|0|0|0|2|15|0|0.133|0.133|0.2
Carson Williams|TBR|25|0|4|3|0|9|1|3|23|0|0.13|0.167|0.174
Mitch Garver|SEA|19|0|0|0|0|7|3|2|16|0|0.125|0.263|0.125
Jordan Beck|COL|44|1|3|6|2|9|3|5|41|0|0.122|0.182|0.22
Jake Rogers|DET|20|0|2|3|0|6|0|2|17|2|0.118|0.15|0.235
Harrison Bader|SFG|55|1|4|3|0|17|2|6|52|1|0.115|0.145|0.192
Tim Tawa|ARI|42|0|1|2|0|7|5|4|35|1|0.114|0.22|0.171
Jeimer Candelario|LAA|20|0|3|0|0|8|1|2|18|0|0.111|0.2|0.222
Brice Matthews|HOU|31|1|1|3|0|16|3|3|28|0|0.107|0.194|0.25
Bryce Teodosio|LAA|21|0|1|1|1|8|1|2|19|0|0.105|0.15|0.105
Randal Grichuk|NYY|22|0|6|1|0|8|1|2|20|1|0.1|0.136|0.2
Otto Kemp|PHI|22|0|0|0|0|9|1|2|20|0|0.1|0.182|0.1
Austin Wynns|ATH|23|0|2|0|0|3|2|2|20|0|0.1|0.182|0.1
Jose Trevino|CIN|12|0|0|0|0|3|1|1|11|0|0.091|0.167|0.091
Carlos Santana|ARI|26|0|1|0|0|8|2|2|24|0|0.083|0.154|0.125
Rece Hinds|CIN|14|0|1|1|0|5|0|1|13|1|0.077|0.071|0.077
Sam Antonacci|CHW|19|0|1|0|0|1|2|1|15|0|0.067|0.263|0.067
Ke'Bryan Hayes|CIN|54|0|1|0|0|4|4|3|50|0|0.06|0.13|0.06
Addison Barger|TOR|23|0|1|2|0|6|3|1|19|1|0.053|0.174|0.105
Wenceel Pérez|DET|24|1|2|1|0|2|2|1|22|0|0.045|0.125|0.182
Rafael Marchán|PHI|24|1|1|2|0|4|0|1|23|0|0.043|0.083|0.174
Ryan Bliss|SEA|2|0|0|0|0|2|0|0|2|0|0.0|0.0|0.0
Will Brennan|SFG|4|0|0|0|0|0|0|0|4|0|0.0|0.0|0.0
Dylan Carlson|CHC|4|0|1|0|0|2|0|0|4|0|0.0|0.0|0.0
Lourdes Gurriel Jr.|ARI|4|0|0|0|0|1|0|0|4|0|0.0|0.0|0.0
Connor Joe|SEA|5|0|0|0|0|2|0|0|5|0|0.0|0.0|0.0
Scott Kingery|CHC|2|0|1|0|1|0|0|0|2|0|0.0|0.0|0.0
Hao-Yu  Lee|DET|3|0|0|0|0|1|0|0|3|0|0.0|0.0|0.0
Dylan Moore|PHI|10|0|1|0|0|5|2|0|8|0|0.0|0.2|0.0
James Outman|MIN|20|0|1|0|2|10|2|0|18|0|0.0|0.1|0.0
Tommy Pham|NYM|8|0|0|0|0|4|0|0|8|0|0.0|0.0|0.0
Jeferson Quero|MIL|2|0|0|0|0|0|1|0|1|0|0.0|0.5|0.0
Rob Refsnyder|SEA|21|0|0|0|0|5|3|0|18|0|0.0|0.143|0.0
Johnathan Rodríguez|BAL|8|0|0|1|0|3|2|0|5|1|0.0|0.25|0.0
Luke Williams|ATL|1|0|0|0|0|0|1|0|0|0|0.0|1.0|0.0
Patrick Wisdom|SEA|1|0|0|0|0|1|0|0|1|0|0.0|0.0|0.0
